brake,target,speed,slope,acc
1012,874,0,2,0
1012,874,0,2,0
1012,874,0,2,0
1012,874,0,2,0
1012,874,0,2,0
1012,874,0,2,5
1012,874,1,2,5
1012,874,2,2,15
1012,874,5,2,10
1012,874,7,2,5
1012,874,8,2,25
1012,874,13,2,25
1012,874,18,2,35
1012,874,25,2,40
1012,874,33,2,25
1012,874,38,2,35
1012,874,45,2,35
1012,874,52,2,35
1012,874,59,2,35
1012,874,66,2,40
1012,874,74,2,35
1012,874,81,2,45
1012,874,90,2,65
1012,874,103,2,70
1012,874,117,2,70
1012,874,131,2,70
1012,874,145,2,60
1012,874,157,2,70
1012,874,171,2,75
1012,874,186,2,65
1012,874,199,2,65
1012,874,212,2,65
1012,874,225,2,75
1012,874,240,2,65
1012,874,253,2,70
1012,874,267,2,60
1012,874,279,2,75
1012,874,294,2,65
1012,874,307,2,80
1012,874,323,2,55
1012,874,334,2,70
1012,874,348,2,65
1012,874,361,2,75
1012,874,376,2,55
1012,874,387,2,75
1012,874,402,2,75
1012,874,417,2,50
1012,874,427,2,75
1012,874,442,2,70
1012,874,456,2,70
1012,874,470,2,70
1012,874,484,2,75
1012,874,499,2,50
1012,874,509,2,75
1012,874,524,2,70
1012,874,538,2,60
1012,874,550,2,75
1012,874,565,2,55
1012,874,576,2,80
1012,874,592,2,60
1012,874,604,2,70
1012,874,618,2,70
1012,874,632,2,65
1012,874,645,2,70
1012,874,659,2,60
1012,874,671,2,75
1012,874,686,2,70
1012,874,700,2,65
1012,874,713,2,65
1012,874,726,2,65
1012,874,739,2,85
1012,874,756,2,45
1012,874,765,2,85
1012,874,782,2,50
1012,874,792,2,45
1012,874,801,2,40
1012,874,809,2,-5
1012,874,808,2,15
1012,874,811,2,-25
1012,874,806,2,10
1012,874,808,2,0
1568,1430,808,2,-15
1568,1430,805,2,10
1568,1430,807,2,-5
1568,1430,806,2,-10
1568,1430,804,2,10
1568,1430,806,2,-25
1568,1430,801,2,15
1568,1430,804,2,-15
1568,1430,801,2,5
1568,1430,802,2,0
1568,1430,802,2,-15
1568,1430,799,2,10
1568,1430,801,2,-5
1568,1430,800,2,25
1568,1430,805,2,55
1568,1430,816,2,45
1568,1430,825,2,85
1568,1430,842,2,80
1568,1430,858,2,95
1568,1430,877,2,95
1568,1430,896,2,90
1568,1430,914,2,80
1568,1430,930,2,90
1568,1430,948,2,85
1568,1430,965,2,85
1568,1430,982,2,95
1568,1429,1001,2,90
1568,1429,1019,2,90
1567,1429,1037,2,75
1567,1429,1052,2,90
1567,1429,1070,2,90
1567,1418,1088,2,90
1567,1418,1106,2,85
1566,1428,1123,2,80
1566,1428,1139,2,90
1566,1428,1157,2,85
1566,1418,1174,2,90
1566,1418,1192,2,75
1556,1418,1207,2,90
2222,2084,1225,2,70
2222,2084,1239,2,85
2222,2084,1256,2,75
2222,2084,1271,2,80
2222,2084,1287,2,70
2222,2084,1301,2,75
2222,2084,1316,2,65
2222,2084,1329,2,75
2222,2084,1344,2,75
2222,2079,1359,2,75
2222,2079,1374,2,55
2217,2079,1385,1,70
2222,2084,1399,1,60
2222,2084,1411,1,75
2222,2084,1426,1,55
2222,2084,1437,1,60
